City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Tignere,CM,7.37,12.65,68.54,61,16,0.89,few clouds
268,Amapa,BR,1.0,-52.0,90.63,39,81,4.27,broken clouds
269,Doha,QA,25.29,51.53,80.6,65,0,5.82,clear sky
270,Canutama,BR,-6.53,-64.38,87.21,57,47,3.36,heavy intensity rain
271,Namatanai,PG,-3.67,152.43,81.86,73,38,3.2,scattered clouds
272,Jieshi,CN,22.81,115.83,69.03,66,14,18.3,few clouds
273,Rio Gallegos,AR,-51.62,-69.22,66.2,34,40,19.46,scattered clouds
274,Simao,CN,22.79,100.97,61.34,93,98,1.63,overcast clouds
275,Taoudenni,ML,22.68,-3.98,79.65,17,100,9.86,overcast clouds
276,Tasiilaq,GL,65.61,-37.64,32.0,98,75,4.7,light shower snow
277,Porto Murtinho,BR,-21.7,-57.88,82.04,48,0,9.26,clear sky
278,Grindavik,IS,63.84,-22.43,41.0,80,75,16.11,light rain
279,Athabasca,CA,54.72,-113.29,30.2,92,100,6.93,overcast clouds
280,Villaviciosa,ES,43.48,-5.44,61.0,65,0,4.43,clear sky
281,Petrovsk,RU,52.31,45.39,43.12,78,100,9.51,overcast clouds
282,Kingisepp,RU,59.37,28.61,43.12,95,30,2.46,scattered clouds
283,Cap Malheureux,MU,-19.98,57.61,64.99,63,0,3.0,light rain
284,Faanui,PF,-16.48,-151.75,79.23,80,0,11.68,clear sky
285,Polovinnoye,RU,54.79,65.99,30.2,93,30,8.01,scattered clouds
286,Corinto,GR,37.94,22.96,63.0,59,19,3.0,few clouds
287,Banda Aceh,ID,5.56,95.32,79.84,75,62,10.33,broken clouds
288,Ciudad Bolivar,VE,8.12,-63.55,88.66,60,65,9.91,light rain
289,Cedar City,US,37.68,-113.06,64.4,16,1,7.23,clear sky
290,Kuala Selangor,MY,3.35,101.25,80.6,88,20,3.36,few clouds
291,Uyuni,BO,-20.46,-66.83,58.75,21,0,13.35,clear sky
292,Baykit,RU,61.67,96.37,2.28,89,44,3.78,scattered clouds
293,Geilo,NO,60.53,8.21,32.0,89,100,6.33,overcast clouds
294,Aborlan,PH,9.44,118.55,79.05,81,75,3.91,broken clouds
295,Beshpagir,RU,45.02,42.38,57.2,71,0,6.71,clear sky
296,Christchurch,NZ,-43.53,172.63,69.01,52,100,16.11,overcast clouds
297,Mogadishu,SO,2.04,45.34,79.75,81,34,12.53,scattered clouds
298,Jardim,BR,-21.48,-56.14,79.03,63,30,7.58,scattered clouds
299,Samfya,ZM,-11.36,29.56,76.77,41,27,12.21,scattered clouds
300,Dandong,CN,40.13,124.39,45.23,58,100,4.23,overcast clouds
301,Baiyin,CN,36.56,104.21,43.0,44,0,2.24,clear sky
302,Risod,IN,19.97,76.78,69.78,61,14,3.13,few clouds
303,Duzce,TR,40.84,31.16,55.72,81,100,4.88,overcast clouds
304,Dudinka,RU,69.41,86.18,12.2,78,100,24.61,overcast clouds
305,Mobaye,CF,4.32,21.18,70.27,95,40,1.7,scattered clouds
306,Georgetown,MY,5.41,100.34,80.6,83,20,4.83,few clouds
307,Nusaybin,TR,37.08,41.22,67.06,22,75,2.1,broken clouds
308,Pitimbu,BR,-7.47,-34.81,80.6,78,20,11.41,few clouds
309,Chufarovo,RU,54.1,47.34,39.7,78,100,7.11,overcast clouds
310,Asheboro,US,35.71,-79.81,62.6,39,1,10.29,clear sky
311,Liman,UA,48.99,37.8,47.91,94,100,4.83,overcast clouds
312,Bantogon,PH,6.53,124.03,78.84,80,100,5.61,overcast clouds
313,Cockburn Town,TC,21.46,-71.14,86.0,70,75,14.99,broken clouds
314,Maceio,BR,-9.67,-35.74,78.8,83,40,13.87,scattered clouds
315,Sisimiut,GL,66.94,-53.67,21.33,91,96,6.85,overcast clouds
316,Sao Filipe,CV,14.9,-24.5,82.09,57,77,17.4,broken clouds
317,Vestmannaeyjar,IS,63.44,-20.27,46.44,77,79,22.66,broken clouds
318,Margate,GB,51.38,1.39,57.99,91,94,3.0,overcast clouds
319,Phimai,TH,15.22,102.49,77.0,99,34,8.1,scattered clouds
320,Lompoc,US,34.64,-120.46,71.01,68,20,11.41,few clouds
321,Kulhudhuffushi,MV,6.62,73.07,81.9,74,11,8.68,few clouds
322,Cayenne,GF,4.93,-52.33,86.0,70,0,6.93,clear sky
323,Yar-Sale,RU,66.83,70.83,31.33,98,100,11.74,overcast clouds
324,Deputatskiy,RU,69.3,139.9,2.75,95,100,1.21,overcast clouds
325,Mudgee,AU,-32.59,149.59,59.0,100,75,1.12,broken clouds
326,Asau,RO,46.43,26.4,43.0,97,100,2.8,light rain
327,Poum,NC,-20.23,164.02,78.17,78,9,18.25,clear sky
328,Nantucket,US,41.28,-70.1,43.0,93,90,25.28,mist
329,Hasaki,JP,35.73,140.83,41.0,80,20,6.93,few clouds
330,Gat,IL,31.61,34.76,75.99,100,65,1.99,broken clouds
331,Ihosy,MG,-22.4,46.12,58.82,81,8,14.32,clear sky
332,Tokmak,UA,47.25,35.71,53.51,77,98,4.18,overcast clouds
333,Tommot,RU,58.96,126.29,7.74,93,99,1.1,light snow
334,Lethem,GY,3.38,-59.8,83.95,69,93,5.57,light rain
335,Ozinki,RU,51.18,49.68,46.2,54,100,9.98,light rain
336,Potosi,BO,-19.58,-65.75,53.78,41,36,4.07,scattered clouds
337,Mount Gambier,AU,-37.83,140.77,51.8,87,90,8.05,overcast clouds
338,Jaciara,BR,-15.97,-54.97,78.17,85,97,6.13,light rain
339,Ahuimanu,US,21.44,-157.84,84.2,48,40,3.36,scattered clouds
340,Chumikan,RU,54.72,135.31,32.95,92,94,6.62,overcast clouds
341,Westport,US,41.14,-73.36,41.0,75,75,9.17,broken clouds
342,Dinguiraye,GN,11.3,-10.72,74.1,43,16,1.57,few clouds
343,Ilulissat,GL,69.22,-51.1,17.6,72,75,4.7,broken clouds
344,Henties Bay,NA,-22.12,14.28,57.0,83,96,6.02,overcast clouds
345,Ngunguru,NZ,-35.62,174.5,68.0,89,100,7.0,overcast clouds
346,Filadelfia,US,39.95,-75.16,48.2,70,90,9.17,overcast clouds
347,Haines Junction,CA,60.75,-137.51,21.2,67,100,11.41,light snow
348,Kimbe,PG,-5.55,150.14,77.58,83,96,2.98,overcast clouds
349,Lamu,KE,-2.27,40.9,77.74,82,0,10.04,light rain
350,Hovd,MN,48.01,91.64,27.73,80,0,3.74,clear sky
351,Emba,KZ,48.83,58.14,43.43,56,94,10.4,overcast clouds
352,Yeppoon,AU,-23.13,150.73,75.2,83,4,6.93,clear sky
353,Ljutomer,SI,46.52,16.2,51.8,93,0,1.12,light rain
354,Souillac,MU,-20.52,57.52,68.0,64,40,11.41,scattered clouds
355,Siderno,IT,38.28,16.3,64.4,72,20,8.05,few clouds
356,Lerwick,GB,60.15,-1.15,50.0,71,49,31.09,scattered clouds
357,Neiafu,TO,-18.65,-173.98,77.0,69,40,9.17,scattered clouds
358,Dieppe,FR,49.75,1.17,55.99,82,90,10.29,overcast clouds
359,Pemangkat,ID,1.17,108.97,77.45,90,100,6.55,moderate rain
360,Sitka,US,57.05,-135.33,42.8,81,75,6.93,broken clouds
361,Puerto Plata,DO,19.79,-70.69,84.2,83,75,11.41,broken clouds
362,Ancud,CL,-41.87,-73.82,62.6,55,0,8.05,clear sky
363,Sishui,CN,35.65,117.28,61.0,1,13,5.84,few clouds
